Experiments for `search_depth` on `VARIANT_2` map with 8000 iterations.
search_depth=0:1:50
---------------------------------------------------
search_depth num_food
---------------------------------------------------
0 42
1 3
2 15
3 12
4 11
5 5
6 39
7 24
8 54
9 21
10 19
11 10
12 22
13 16
14 13
15 11
16 26
17 24
18 19
19 22
20 34
21 27
22 25
23 74
24 147
25 86
26 48
27 65
28 38
29 35
30 56
31 30
32 123
33 162
34 214
35 204
36 202
37 69
38 214
39 221
40 69
41 205
42 208
43 239
44 210
45 167
46 215
47 169
48 367
49 201
50 229
---------------------------------------------------
End of Experiment!


