Experiments for `num_ants` on `VARIANT_4` map with 8000 iterations.
num_ants=20:10:2000
---------------------------------------------------
num_ants num_food
---------------------------------------------------
20 55
30 63
40 101
50 124
60 143
70 161
80 199
90 248
100 234
110 306
120 336
130 405
140 421
150 452
160 542
170 621
180 734
190 701
200 820
210 860
220 918
230 839
240 719
250 674
260 1013
270 762
280 992
290 782
300 911
310 745
320 1070
330 1068
340 1069
350 1049
360 1063
370 1065
380 1067
390 1068
400 751
410 1066
420 1055
430 1068
440 1069
450 1056
460 1061
470 1061
480 1062
490 1062
500 1065
510 1061
520 1063
530 1053
540 1059
550 1065
560 1057
570 1066
580 1068
590 1060
600 1058
610 1062
620 1060
630 1065
640 1060
650 1064
660 1058
670 1056
680 1062
690 1064
700 1066
710 1061
720 1062
730 1066
740 1061
750 1062
760 1059
770 1064
780 1064
790 1066
800 1060
810 1065
820 1061
830 1060
840 1065
850 1066
860 1064
870 1058
880 1060
890 1059
900 1064
910 1062
920 1066
930 1057
940 1060
950 1064
960 1060
970 1059
980 1065
990 1061
1000 1059
1010 1062
1020 1063
1030 1063
1040 1062
1050 1059
1060 1064
1070 1059
1080 1069
1090 1062
1100 1061
1110 1065
1120 1065
1130 1064
1140 1060
1150 1063
1160 1058
1170 1061
1180 1065
1190 1061
1200 1063
1210 1065
1220 1065
1230 1064
1240 1065
1250 1061
1260 1059
1270 1066
1280 1066
1290 1059
1300 1054
1310 1067
1320 1058
1330 1066
1340 1056
1350 1064
1360 1061
1370 1066
1380 1063
1390 1058
1400 1057
1410 1062
1420 1059
1430 1066
1440 1065
1450 1070
1460 1066
1470 1058
1480 1059
1490 1060
1500 1062
1510 1060
1520 1067
1530 1058
1540 1065
1550 1067
1560 1064
1570 1060
1580 1062
1590 1063
1600 1064
1610 1060
1620 1061
1630 1066
1640 1059
1650 1060
1660 1061
1670 1066
1680 1057
1690 1066
1700 1059
1710 1059
1720 1061
1730 1064
1740 1057
1750 1064
1760 1068
1770 1066
1780 1068
1790 1065
1800 1067
1810 1069
1820 1060
1830 1065
1840 1061
1850 1067
1860 1064
1870 1059
1880 1059
1890 1066
1900 1068
1910 1063
1920 1060
1930 1065
1940 1065
1950 1064
1960 1066
1970 1064
1980 1064
1990 1061
2000 1065
---------------------------------------------------
End of Experiment!


