Experiments for `search_depth` on `VARIANT_3` map with 8000 iterations.
search_depth=0:1:50
Total amount of food on the map: 451
---------------------------------------------------

search_depth num_food
---------------------------------------------------
0 12
1 21
2 12
3 26
4 37
5 13
6 17
7 57
8 39
9 58
10 51
11 33
12 88
13 90
14 63
15 107
16 93
17 69
18 42
19 102
20 131
21 145
22 120
23 143
24 159
25 150
26 154
27 130
28 137
29 220
30 110
31 210
32 143
33 227
34 228
35 211
36 212
37 168
38 155
39 185
40 190
41 224
42 108
43 216
44 213
45 205
46 172
47 170
48 224
49 168
50 238
