Experiments for `num_ants` on `DEFAULT` map with 8000 iterations.
num_ants=20:10:2000
Total amount of food on the map: 531
---------------------------------------------------

num_ants num_food
---------------------------------------------------
20 88
30 101
40 182
50 171
60 253
70 268
80 276
90 290
100 277
110 303
120 325
130 354
140 346
150 332
160 326
170 352
180 427
190 382
200 363
210 381
220 515
230 399
240 523
250 527
260 526
270 527
280 528
290 527
300 529
310 527
320 530
330 523
340 528
350 529
360 529
370 528
380 528
390 529
400 529
410 529
420 529
430 530
440 527
450 531
460 530
470 528
480 526
490 529
500 529
510 529
520 530
530 527
540 530
550 529
560 531
570 530
580 529
590 529
600 528
610 529
620 530
630 530
640 529
650 530
660 531
670 531
680 531
690 531
700 531
710 529
720 530
730 530
740 531
750 530
760 531
770 531
780 530
790 530
800 531
810 531
820 531
830 530
840 531
850 529
860 531
870 531
880 531
890 530
900 531
910 531
920 531
930 531
940 530
950 530
960 531
970 531
980 531
990 529
1000 531
1010 530
1020 530
1030 531
1040 530
1050 531
1060 530
1070 530
1080 531
1090 531
1100 531
1110 530
1120 530
1130 530
1140 531
1150 530
1160 531
1170 531
1180 531
1190 531
1200 531
1210 531
1220 531
1230 531
1240 531
1250 530
1260 530
1270 530
1280 531
1290 530
1300 531
1310 531
1320 530
1330 531
1340 530
1350 531
1360 530
1370 531
1380 529
1390 530
1400 531
1410 531
1420 531
1430 530
1440 530
1450 530
1460 531
1470 531
1480 531
1490 531
1500 531
1510 531
1520 531
1530 530
1540 530
1550 531
1560 530
1570 531
1580 531
1590 531
1600 531
1610 531
1620 531
1630 531
1640 530
1650 531
1660 531
1670 531
1680 529
1690 531
1700 531
1710 530
1720 530
1730 530
1740 530
1750 531
1760 528
1770 531
1780 530
1790 530
1800 531
1810 531
1820 531
1830 531
1840 531
1850 529
1860 531
1870 531
1880 530
1890 531
1900 531
1910 531
1920 530
1930 531
1940 531
1950 531
1960 530
1970 531
1980 530
1990 531
2000 529
