Experiments for `search_depth` on `VARIANT_5` map with 8000 iterations.
search_depth=0:1:50
Total amount of food on the map: 220
---------------------------------------------------

search_depth num_food
---------------------------------------------------
0 14
1 6
2 15
3 13
4 21
5 4
6 6
7 83
8 5
9 33
10 104
11 17
12 91
13 8
14 19
15 48
16 44
17 134
18 56
19 11
20 16
21 64
22 20
23 113
24 107
25 52
26 15
27 76
28 13
29 118
30 135
31 138
32 205
33 162
34 149
35 46
36 186
37 152
38 156
39 196
40 200
41 198
42 194
43 176
44 200
45 192
46 168
47 181
48 159
49 165
50 138
